id,chapter,year,text
2020.acl-demos.1.txt,7 Conclusion,2020,another direction for improvement is to further enhance the ability to interact with users via a conversation interface.
2020.acl-demos.1.txt,7 Conclusion,2020,"one such important direction for future improvement is the expansion of areas that it can work in, which can be achieved through a promising approach of adopting model based technologies together with rule/template based ones."
2020.acl-demos.1.txt,7 Conclusion,2020,"so far, xiaomingbot has been deployed online and is serving users."
2020.acl-demos.10.txt,6 Conclusion,2020,"in particular, we plan to incorporate human performance as a reference metric, integrating psycholinguistic experimental results and supporting easy experimental design starting from the test suite format."
2020.acl-demos.10.txt,6 Conclusion,2020,"syntaxgym is continually evolving: we plan to add new features to the site, and to develop further in response to user feedback."
2020.acl-demos.10.txt,6 Conclusion,2020,"we also plan to further incorporate language models into the lm-zoo tool, allowing broader access to state-of-the-art language models in general."
2020.acl-demos.10.txt,6 Conclusion,2020,"we welcome open-source contributions to the website and to the general framework, and especially encourage the nlp community to contribute their models to the lm-zoo repository."
2020.acl-demos.14.txt,5 Conclusion and Future Work,2020,"for future work, we consider the following areas of improvement in the near term: • models downloadable in sta n z a are largely trained on a single dataset."
2020.acl-demos.14.txt,5 Conclusion and Future Work,2020,"simultaneously, sta n z a ’s corenlp client extends its functionality with additional nlp tools."
2020.acl-demos.14.txt,5 Conclusion and Future Work,2020,"to make models robust to many different genres of text, we would like to investigate the possibility of pooling various sources of compatible data to train “default” models for each language; • the amount of computation and resources available to us is limited."
2020.acl-demos.14.txt,5 Conclusion and Future Work,2020,"we would like to further investigate reducing model sizes and speeding up computation in the toolkit, while still maintaining the same level of accuracy.• we would also like to expand sta n z a ’s functionality by adding other processors such as neural coreference resolution or relation extraction for richer text analytics."
2020.acl-demos.16.txt,4 Conclusion,2020,"we will extend mt-dnn to support natural language generation tasks, e.g. question generation, and incorporate more pre-trained encoders, e.g. t5 (raffel et al., 2019) in future."
2020.acl-demos.17.txt,6 Conclusion and Future Work,2020,"an interesting direction to explore is re-ranking corrective suggestions, so that the suggestion more relevant to the original sentence goes to the top."
2020.acl-demos.17.txt,6 Conclusion and Future Work,2020,"for example, the method for introducing additional training data or generating artificial training data could be implemented to improve the performance."
2020.acl-demos.17.txt,6 Conclusion and Future Work,2020,many avenues exist for future research and improvement of our system.
2020.acl-demos.17.txt,6 Conclusion and Future Work,2020,yet another direction of research would be to detect fine-grained error types.
2020.acl-demos.18.txt,5 Conclusions,2020,"our case study on the wmt2019 metrics shared task further highlights the potential of clir as a proxy task for mt evaluation, and we hope that clireval can facilitate future research in this area."
2020.acl-demos.18.txt,5 Conclusions,2020,"the aim of this project is not to replace current automatic evaluation metrics or fix the limitations in those metrics, but to bridge the gap between machine translation and cross-lingual information retrieval and to show that clir is a feasible proxy task for mt evaluation."
2020.acl-demos.19.txt,5 Conclusion,2020,"based on convlab (lee et al., 2019b), convlab-2 integrates more powerful models, supports more datasets, and develops an analysis tool and an interactive tool for comprehensive end-to-end evaluation."
2020.acl-demos.19.txt,5 Conclusion,2020,we hope that convlab-2 is instrumental in promoting the research on task-oriented dialogue.
2020.acl-demos.2.txt,6 Conclusion and Future Work,2020,"for example, its usability in generation tasks such as machine translation has not been tested."
2020.acl-demos.2.txt,6 Conclusion and Future Work,2020,"in the future, we aim to integrate neural architecture search into the toolkit to automate the searching for model structures."
2020.acl-demos.2.txt,6 Conclusion and Future Work,2020,we will keep adding more examples and tests to expand textbrewer’s scope of application.
2020.acl-demos.20.txt,4 Conclusions and Future Work,2020,"additionally, we would like to explore opusfilter’s use in different scenarios and for other language pairs."
2020.acl-demos.20.txt,4 Conclusions and Future Work,2020,especially interesting would be the application in low-resource settings and various levels of noise in the original data.
2020.acl-demos.20.txt,4 Conclusions and Future Work,2020,"furthermore, the use for domain adaptation and data selection should be further explored."
2020.acl-demos.20.txt,4 Conclusions and Future Work,2020,"in future work, we would like to extend the toolbox with additional filters and classification options."
2020.acl-demos.22.txt,6 Discussion,2020,"however, exbert can effectively narrow the scope and refine hypotheses through quick testing iterations."
2020.acl-demos.24.txt,6 Conclusion and Future Work,2020,"we also plan to improve the performance of core models in photon, such as semantic parsing (text-to-sql), response generation (table-to-text) and context-aware user interaction (text-to-text)."
2020.acl-demos.24.txt,6 Conclusion and Future Work,2020,"we will continue to add more features to photon, such as voice input, spelling checking, and visualizing the output when appropriate to inspect the translation process."
2020.acl-demos.25.txt,5 Discussion and Future Work,2020,5.1 using guis for language grounding sugilite illustrates the great promise of using guis as a resource for grounding and understanding natural language instructions in itl.
2020.acl-demos.25.txt,5 Discussion and Future Work,2020,"a promising direction is to use gui references to help with repairing conversational breakdowns (beneteau et al., 2019; ashktorab et al., 2019; myers et al., 2018) caused by incorrect semantic parsing, intent classification, or entity recognition."
